id,name,tag,content_category,tag_source
banhbaomottrung,Bánh Bao 1 Trứng,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
banhbaomottrung,Bánh Bao 1 Trứng,Mukbang & Nếm thức ăn,Food & Beverage,video_tag
baodongnat86,Bảo Đồng Nát,Cuộc sống hàng ngày,Lifestyle,video_tag
baodongnat86,Bảo Đồng Nát,Nấu ăn & Công thức nấu ăn,Food & Beverage,video_tag
baodongnat86,Bảo Đồng Nát,Đồ uống & Sản xuất,Food & Beverage,video_tag
baohannehihi,baohannguyenxhelia,Hát nhép,Entertainment,video_tag
baohatinh,Báo Hà Tĩnh,Tin tức xã hội & Sự kiện,News & Social Issues,video_tag
baokhuyensusan,Bảo Khuyên,Hát nhép,Entertainment,video_tag
baokhuyensusan,Bảo Khuyên,Mukbang & Nếm thức ăn,Food & Beverage,video_tag
baokhuyensusan,Bảo Khuyên,Nhảy,Entertainment,video_tag
baongan.549,Bảo Ngân 549,Cuộc sống hàng ngày,Lifestyle,video_tag
baongan.549,Bảo Ngân 549,Tiểu phẩm,Entertainment,video_tag
baongan.549,Bảo Ngân 549,Âm nhạc,Entertainment,video_tag
baongoc1314,Bảo ngọc 🐰,Hát nhép,Entertainment,video_tag
baongoc1314,Bảo ngọc 🐰,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
baongoc1314,Bảo ngọc 🐰,Nhảy,Entertainment,video_tag
baongocc_._,Bảo Ngọc🥑,Cuộc sống hàng ngày,Lifestyle,video_tag
baongocc_._,Bảo Ngọc🥑,Du lịch,Travel & Outdoor,video_tag
bar.shimavn,🍀BéLàShima🍀✔,Hài kịch,Entertainment,video_tag
bar.shimavn,🍀BéLàShima🍀✔,Trò chơi điện tử,Gaming,video_tag
batanvlog01,Bà Tân Vlogs,Mukbang & Nếm thức ăn,Food & Beverage,video_tag
batanvlog01,Bà Tân Vlogs,Nấu ăn & Công thức nấu ăn,Food & Beverage,video_tag
batanvlog01,Bà Tân Vlogs,Đồ uống & Sản xuất,Food & Beverage,video_tag
bdd4227,White Toxic🇻🇳,Hài kịch,Entertainment,video_tag
bdd4227,White Toxic🇻🇳,Nhảy,Entertainment,video_tag
bdd4227,White Toxic🇻🇳,Trò chơi điện tử,Gaming,video_tag
bdd4227,White Toxic🇻🇳,Âm nhạc,Entertainment,video_tag
