id,name,country,collab_score,broadcast_score,commerce_score,followers_num,median_views_num,engagement_pct,price_num,field_tags,video_tags,cpv,view_rate_pct,creator_segment,price_tier,potential_group
2sao.vn,2Sao.vn,Việt Nam,75.30000000000001,,,1150000.0,27500.0,1.725,1610459.0,,"Tin tức giải trí, Tin tức xã hội & Sự kiện",58.56214545454545,2.391304347826087,Mega,Low,General / Low Priority
2t.action99,2T.Action,Việt Nam,76.65,97.2,,1700000.0,39500.0,5.779999999999999,1000000.0,,Thể thao mạo hiểm,25.31645569620253,2.323529411764706,Mega,Low,General / Low Priority
59.23,Lê Ngân,Việt Nam,80.25,91.94999999999999,,1850000.0,692000.0,2.795,35588704.0,"Chăm sóc da, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Tin tức và Giải trí","Cuộc sống hàng ngày, Du lịch, Mukbang & Nếm thức ăn, Nấu ăn & Công thức nấu ăn, Đồ uống & Sản xuất",51.42876300578035,37.4054054054054,Mega,High,General / Low Priority
60giay.com,60giay.com,Việt Nam,76.3,94.4,,12600000.0,228400.0,5.04,19861124.0,"Dịch vụ kinh doanh, Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác, Thiết bị","Tin tức giải trí, Tin tức xã hội & Sự kiện",86.95763572679509,1.8126984126984127,Mega,High,General / Low Priority
97.mayonair,Con đàn bà tích cực,Việt Nam,74.85,,,907000.0,238200.0,2.4050000000000002,10000000.0,,"Cuộc sống hàng ngày, Nhảy, Trang phục, Âm nhạc",41.98152812762385,26.262403528114664,Macro,Medium,General / Low Priority
_.charmingg._,Chang Chói Chang,Việt Nam,76.1,91.6,,1900000.0,603400.0,5.18,12000000.0,,Nhảy,19.887305270135897,31.757894736842108,Mega,Medium,Cost-efficient
__lyhan__,LYHAN,Việt Nam,76.4,97.2,,2200000.0,486700.0,10.94,15119784.0,Tin tức và Giải trí,"Hát nhép, Âm nhạc",31.06592151222519,22.12272727272727,Mega,High,Awareness Booster
__thodibar__,Thỏ Music 🎧,Việt Nam,78.65,91.1,,1350000.0,8900.0,5.52,5000000.0,,"Nhảy, Âm nhạc",561.7977528089888,0.6592592592592592,Mega,Medium,General / Low Priority
_binz_lala_,Chú Bin Sắp 2 M 🥹,Việt Nam,78.0,91.7,,1000000.0,39300.0,5.71,4000000.0,,Nhảy,101.78117048346056,3.93,Mega,Low,General / Low Priority
_canxuanhuy,Cấn Xuân Huy,Việt Nam,78.75,97.2,,998700.0,293600.0,4.335,160000.0,,"Cuộc sống hàng ngày, Trang phục",0.5449591280653951,29.39821768298788,Macro,Low,Cost-efficient
_clouddom,Mâyy ☁️,Việt Nam,81.80000000000001,98.6,,1000000.0,38550.0,4.28,10000000.0,"Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Mỹ phẩm, Thương mại điện tử (không dùng ứng dụng)","Hát nhép, Hướng dẫn & mẹo làm đẹp, Trang phục",259.40337224383916,3.855,Mega,Medium,High Reach - Low Efficiency
_cogiaoduyen_,Cô giáo Duyên,Việt Nam,78.25,,,907850.0,9850.0,9.25,4000000.0,"Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Quần áo nữ, Sản phẩm gia dụng","Cuộc sống sinh viên, Hát nhép, Hướng dẫn & mẹo làm đẹp, Ảnh tự chụp",406.0913705583756,1.084980999063722,Macro,Low,General / Low Priority
_ema_xlem_,☀️ Sâu 🌊,Việt Nam,74.8,,,762000.0,91700.0,7.5,2104600.0,,"Hát nhép, Nhảy, Trang phục",22.95092693565976,12.034120734908136,Macro,Low,General / Low Priority
_halinhtran_,Trần Hà Linh 🐰,Việt Nam,77.9,93.0,,2500000.0,1900000.0,5.94,2900000.0,,"Hướng dẫn & mẹo làm đẹp, Nhảy",1.5263157894736843,76.0,Mega,Low,Cost-efficient
_hri.yien_,Hải Yến,Việt Nam,79.2,92.5,,218700.0,50900.0,15.44,1825860.0,,"Hát nhép, Hướng dẫn & mẹo làm đẹp, Nhảy",35.87151277013753,23.273891175125744,Mid-tier,Low,General / Low Priority
_iamhuonggggg,_iamhuonggg🦋,Việt Nam,77.25,,,2000000.0,29150.0,7.6,2605362.0,"Chăm sóc da, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng)","Hát nhép, Hướng dẫn & mẹo làm đẹp, Nhảy",89.37777015437393,1.4575,Mega,Low,General / Low Priority
