ID,Name,Country,Collab Score,Broadcast Score,Commerce Score,Followers,Median Views,Engagement,Price,Field Tags,Video Tags
haidangrevieww,Hải Đăng Review,Việt Nam,76.3,N/A,N/A,"2,5M","345,3K","5,04%",15.894.170 VND,"Sức khỏe, Thực phẩm và Đồ uống, Thương mại điện tử (không dùng ứng dụng)",Mukbang & Nếm thức ăn
thucmin98,Nguyễn Công Thức,Việt Nam,85.8,N/A,90.4,"1,5M","60,6K","5,18%",487.286 VND,Thương mại điện tử (không dùng ứng dụng),"Hát nhép, Cuộc sống hàng ngày, Nhảy"
sudauto,Su Đầu To,Việt Nam,79.4,96.5,N/A,"2,4M","264,5K","7,42%",4.295.236 VND,Thương mại điện tử (không dùng ứng dụng),"Hát nhép, Trò chơi không phải điện tử"
sonhanma_scl,Sơn Hanma 👹👾👹,Việt Nam,78.2,95.8,N/A,"1,4M","413,4K","4,80%",26.404.352 VND,Thể thao và Hoạt động ngoài trời,Thể dục
hungrom97.official,Hùng Rơm,Việt Nam,74.7,N/A,N/A,"1,6M",1M,"3,78%",19.721.250 VND,"Thể thao và Hoạt động ngoài trời, Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Âm nhạc, Hài kịch"
d.dragon1712,elm zai chị Nguyệt.,Việt Nam,84.5,97.9,N/A,"1,6M","1,9M","11,76%",20.784.935 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí","Cuộc sống sinh viên, Giáo dục học đường, Cuộc sống hàng ngày"
safari.ph.quc,Zebra hahaha,Việt Nam,80.9,97.2,N/A,223K,"17,6K",70%,1.000.000 VND,,Động vật hoang dã & Thú cưng lạ
dntminh,Vitamin Mèo,Việt Nam,76.9,92.3,N/A,"2,6M","878,4K","14,80%",33.519.570 VND,"Sức khỏe, Thiết bị, Thú cưng",Chăm sóc thú cưng
thu.thaotran,Thu Thảo Trần,Việt Nam,77.6,90.4,N/A,"870,7K","37,6K","8,18%",1.319.934 VND,,"Gia đình, Tình yêu & Mối quan hệ lãng mạn, Cuộc sống hàng ngày"
vangiau.07,Nguyễn Văn Giàu,Việt Nam,85.5,N/A,92.0,"10,9M","323,4K","2,78%",39.442.500 VND,Tin tức và Giải trí,"Trang phục, Hát nhép, Hướng dẫn & mẹo làm đẹp"
nhythanh_04,Thanh Nhi,Việt Nam,81.7,93.8,N/A,"528,9K","67,9K","17,28%",5.160.221 VND,,
hoa_2309,𝙃𝙤̀𝙖 𝙍𝙪𝙗𝙮,Việt Nam,95.0,95.8,100.0,"15,6M","638,9K","4,45%",30.000.000 VND,,"Nhảy, Hướng dẫn & mẹo làm đẹp, Cuộc sống hàng ngày"
hngbii18,Hùng Bii,Việt Nam,78.8,93.8,N/A,"844,5K","35,9K","6,89%",4.459.051 VND,,"Hát nhép, Tình yêu & Mối quan hệ lãng mạn, Hướng dẫn & mẹo làm đẹp"
2001chung,Chung Thị Chung✅,Việt Nam,77.5,90.9,N/A,"3,9M","177,7K","4,98%",5.758.067 VND,,"Hát nhép, Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp"
tuishue,Ht,Việt Nam,78.6,96.5,N/A,"600,2K",370K,"15,23%",80.000.000 VND,,Nhảy
garancg,Gà Rán Chiên Giòn,Việt Nam,92.4,97.3,N/A,4M,"96,6K","3,98%",4.000.000 VND,Game,Trò chơi điện tử
vietanhpipo_,Butin đang tắm,Việt Nam,78.6,97.2,N/A,"1,3M","225,4K","10,80%",8.120.395 VND,Thú cưng,Chăm sóc thú cưng
baokhuyensusan,Bảo Khuyên,Việt Nam,83.0,97.2,N/A,"1,6M","449,2K","6,24%",24.989.831 VND,"Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Mỹ phẩm","Mukbang & Nếm thức ăn, Nhảy, Hát nhép"
littlebunnie17,Ngọc Phước,Việt Nam,87.8,90.2,92.0,"1,1M","77,5K","4,68%",3.677.035 VND,,"Phim ảnh & Truyền hình, Cuộc sống hàng ngày"
quynhalee,Quỳnh Alee,Việt Nam,75.6,N/A,N/A,5M,"743,5K","6,62%",30.212.388 VND,"Sức khỏe, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Chăm sóc da","Hát nhép, Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp"
cudau8,Củ Đậu Story,Việt Nam,76.2,N/A,N/A,"1,6M","51,4K","3,49%",10.000.000 VND,,"Nhân văn & Khoa học, Sức khỏe"
ngachan2701,NgaChan Asmr,Việt Nam,86.3,N/A,92.0,"3,5M","84,7K","2,38%",15.000.000 VND,"Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Mukbang & Nếm thức ăn, Chất nhờn ma quái, ASMR & Thẩm mỹ"
chanh.n77,Chanh noe,Việt Nam,93.4,98.6,97.6,"496,6K","218,6K","18,52%",5.000.000 VND,,"Hát nhép, Nhảy, Hài kịch"
backcumback,Bách Khỉ,Việt Nam,77.5,97.2,N/A,"2,2M","368,1K","7,88%",12.227.886 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Sản phẩm chăm sóc cá nhân và làm đẹp khác","Trò chơi không phải điện tử, Hài kịch, Gia đình"
longr_yt,LongR TV,Việt Nam,88.7,97.2,N/A,"1,3M","1,5M","4,23%",10.000.000 VND,,"Trò chơi điện tử, Đồ chơi & Sưu tầm"
bekytv,𝐁𝐞́ 𝐊𝐲 𝐓𝐕 🇻🇳,Việt Nam,76.9,90.8,N/A,"1,1M","17,2K","3,81%",1.177.185 VND,,
trinhhyy,Trinh Hyy,Việt Nam,92.6,N/A,93.6,"2,5M","15,6K","2,82%",10.000.000 VND,,Tiểu phẩm
onsportsplus,On Sports Plus,Việt Nam,73.8,N/A,N/A,"1,8M","109,5K","3,17%",5.000.000 VND,,"Thể thao truyền thống, Tin tức thể thao"
thunglongfamily,Thủng Long Family (TLF),Việt Nam,75.5,N/A,N/A,"2,9M","109,9K","3,56%",8.118.964 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, Mẹ & Bé, Sản phẩm chăm sóc cá nhân và làm đẹp khác",Nhảy
